cusip,comp_conm,tic,factiva_tag,factiva_name,sim
41743450,HARVARD INDUSTRIES INC,HAVA,hava,"Harvard Industries Inc, havax",0.893617021276596
41752810,HARVEST FINANCIAL CORP,HVEF,hrfin,HARVEST FINANCIAL CORP,1
41754V20,HARVEST NATURAL RESOURCES,HNR,bnoil,Harvest Natural Resources Inc.,0.92
41766040,HARVEY ELECTRONICS INC,HRVEQ,hrvygp,Harvey Electronics Inc,1
41781610,HARVEY UNIVERSAL INC,3HARVE,harvu,Harvey Universal Inc,1
41782610,HARVEYS CASINO RESORTS,HVY,harres,Harveys Casino Resorts,1
41805610,HASBRO INC,HAS,hasbro,Hasbro Inc,1
41810610,HASKEL INTL INC,HSKL,hskinc,Haskel International Inc,1
41836510,HASTINGS ENTERTAINMENT INC,HAST,hstent,Hastings Entertainment Inc,1
41839810,HASTINGS MANUFACTURING CO,HGMG,hmf,"Hastings Manufacturing Co, hmfx",0.92
41913110,HAUPPAUGE DIGITAL INC,HAUP,hppdgn,Hauppauge Digital Inc,1
41914140,HAUSER INC,HAUSQ,,,
41935210,HAVEN BANCORP INC,HAVN,hvnbk,Haven Bancorp Inc,1
41941110,HAVERFIELD CORP,HVFD,havfld,"HAVERFIELD CORP, havfldx",0.8
41959610,HAVERTY FURNITURE,HVT,havt,"Haverty Furniture Companies Inc, havtx",0.727272727272727
41987010,HAWAIIAN ELECTRIC INDS,HE,hwnelc,Hawaiian Electric Industries Inc,0.8
41987910,HAWAIIAN HOLDINGS INC,HA,ha,Hawaiian Holdings Inc,1
41988310,HAWAIIAN NATURAL WATER INC,3HNWC,hwnnwc,Hawaiian Natural Water Company Inc,0.96
42003110,HAWAIIAN TELCOM HOLDCO INC,HCOM,,,
42008910,HAWK CORP,HWK,hwkusa,Hawk Corp,1
42012310,HAWKER PACIFIC AEROSPACE INC,HPAC.1,hwkpac,Hawker Pacific Aerospace,0.916666666666667
42015510,HAWKEYE BANCORPORATION,HWKB,hwky,Hawkeye Bancorp,0.8
42026110,HAWKINS INC,HWKN,hwkn,Hawkins Inc,1
42047610,HAWTHORN BANCSHARES INC,HWBK,excntl,Hawthorn Bancshares Incorporated,0.846153846153846
42054210,HAWTHORNE FINANCIAL CORP,HTHR,,,
42078130,HAYES LEMMERZ INTL INC,HAYZQ,haywh,Hayes Lemmerz International Inc,1
42087720,HAYNES INTERNATIONAL INC,HAYN,,,
42190310,HEARME,HEARZ,mpathi,"HearMe, yahcor",0.666666666666667
42190610,HEALTHCARE SERVICES GROUP,HCSG,heser,"Healthcare Services Group Inc, heserx",0.821428571428571
42191810,HEALTHPLEX INC,HPLX10,hplks,"HEALTHPLEX INC, hplksx",0.823529411764706
42192010,HEALTHCARE INTL,HIICA,hi,"HEALTHCARE INTERNATIONAL, hix",0.903225806451613
42192710,HEALTH CONCEPTS IV INC,3HCFO,hciv,"Health Concepts IV Inc, hcivx",0.888888888888889
42193310,HEALTH MANAGEMENT ASSOC,HMA,hmanas,"Health Management Associates Inc, hmanasx",0.724137931034483
42193510,HEALTH RISK MANAGEMENT INC,HRMIE,hrskm,"Health Risk Management Inc, hrskmx",0.888888888888889
42193930,HEALTHCARE INTEGRATED SVCS,3HCISQ,hcim,Healthcare Integrated Services Inc,0.857142857142857
42196310,HEARTSTREAM INC,HTST,,,
42196410,HEALTH SYSTEMS DESIGN CORP,HSDC,hsdc,HEALTH SYSTEMS DESIGN CORP,1
42196910,HEARTPORT INC,HPRT.1,hrtprt,"Heartport Inc, stjm",0.866666666666667
42197910,HEARTLAND TECHNOLOGY INC,HDTCQ,mwland,Heartland Technology Inc,1
42207710,HEADHUNTER.NET INC,HHNT,hhunt,HeadHunter.NET Inc,1
42210P10,HEADWATERS INC,HW,etgp,Headwaters Inc,1
42217410,HEALTH-CHEM CORP,HCLC,hcemco,"Health Chem Corporation, hcemcox",0.666666666666667
42217810,HEALTH IMAGES INC,HII.2,hlthim,"Health Images Inc, hlthimx",0.82051282051282
42217V20,HEALTH FITNESS CORP,FIT.1,hefit,HealthFitness,0.866666666666667
42218Q10,HEALTH GRADES INC,HGRD,spcane,Health Grades Inc,1
42219G10,HEALTH POWER INC,3HPWR,hlthp,HEALTH POWER INC,1
42219J20,HEALTH PROFESSIONALS INC,HPFS,hexts,"Health Professionals Inc, hextsx",0.884615384615385
42220010,HEALTHCO INTL INC,HLCO.1,,,
42220110,HEALTHCOR HOLDINGS INC,HCOR.1,healho,Healthcor Holdings Inc,1
42220310,HEALTHDYNE INC,HDYN.,narco,"Healthdyne Inc, narcox",0.823529411764706
42220610,HEALTHDYNE TECHNOLOGIES INC,HDTC.1,hdynt,"HEALTHDYNE TECHNOLOGIES INC, specxr",0.896551724137931
42221030,HEALTHETECH INC,HETC,helete,Healthetech Inc,1
42221480,HEALTHWATCH INC,HEAL,heal,"Healthwatch Inc, healx",0.857142857142857
42221C10,HEALTHINFUSION INC,HINF,helfu,"HEALTHINFUSION INC, helfux",0.857142857142857
42221E10,HEALTHSOURCE INC,HS.,helnew,"HEALTHSOURCE INC, helnewx",0.82051282051282
