cusip,st_date,en_date,num_art
03116210,2013-08-26,2013-08-26,107
03251110,2006-06-23,2006-06-23,135
03251110,2019-04-12,2019-04-12,152
03349M10,2018-04-30,2018-04-30,120
03522910,2008-06-12,2008-06-12,134
03522910,2008-07-14,2008-07-14,148
03675210,2015-02-05,2015-02-05,123
03675210,2015-02-06,2015-02-06,126
03675210,2015-07-24,2015-07-24,149
03675210,2017-02-09,2017-02-09,111
00184X10,2011-02-07,2011-02-07,110
00184X10,2015-05-12,2015-05-12,181
00184X10,2015-05-13,2015-05-13,105
03783310,2000-09-29,2000-09-29,104
03783310,2005-01-13,2005-01-13,119
03783310,2005-04-14,2005-04-14,101
03783310,2005-10-12,2005-10-12,132
03783310,2005-10-13,2005-10-13,122
03783310,2007-01-09,2007-01-09,111
03783310,2007-01-10,2007-01-10,110
03783310,2007-06-28,2007-06-28,124
03783310,2007-06-29,2007-06-29,168
03783310,2007-06-30,2007-06-30,101
03783310,2008-06-09,2008-06-09,123
03783310,2008-06-10,2008-06-10,119
03783310,2009-01-06,2009-01-06,109
03783310,2009-01-15,2009-01-15,101
03783310,2009-10-20,2009-10-20,121
03783310,2010-01-06,2010-01-06,103
03783310,2010-01-26,2010-01-26,107
03783310,2010-01-27,2010-01-27,197
03783310,2010-01-28,2010-01-28,210
03783310,2010-01-29,2010-01-29,111
03783310,2010-04-01,2010-04-01,118
03783310,2010-04-02,2010-04-02,110
03783310,2010-04-05,2010-04-05,158
03783310,2010-04-06,2010-04-06,115
03783310,2010-04-07,2010-04-07,109
03783310,2010-04-08,2010-04-08,191
03783310,2010-04-20,2010-04-20,112
03783310,2010-04-21,2010-04-21,183
03783310,2010-06-02,2010-06-02,112
03783310,2010-06-07,2010-06-07,176
03783310,2010-06-08,2010-06-08,121
03783310,2010-06-16,2010-06-16,101
03783310,2010-06-23,2010-06-23,106
03783310,2010-06-24,2010-06-24,119
03783310,2010-06-25,2010-06-25,105
03783310,2010-07-16,2010-07-16,150
03783310,2010-07-20,2010-07-20,107
03783310,2010-07-21,2010-07-21,121
03783310,2010-09-01,2010-09-01,168
03783310,2010-09-09,2010-09-09,107
03783310,2010-10-13,2010-10-13,104
03783310,2010-10-18,2010-10-18,116
03783310,2010-10-19,2010-10-19,135
03783310,2010-10-20,2010-10-20,162
03783310,2010-10-21,2010-10-21,110
03783310,2010-11-16,2010-11-16,108
03783310,2011-01-05,2011-01-05,124
03783310,2011-01-06,2011-01-06,176
03783310,2011-01-07,2011-01-07,128
03783310,2011-01-11,2011-01-11,174
03783310,2011-01-12,2011-01-12,108
03783310,2011-01-17,2011-01-17,123
03783310,2011-01-18,2011-01-18,279
03783310,2011-01-19,2011-01-19,233
03783310,2011-01-24,2011-01-24,101
03783310,2011-01-27,2011-01-27,122
03783310,2011-02-01,2011-02-01,107
03783310,2011-02-02,2011-02-02,122
03783310,2011-02-03,2011-02-03,113
03783310,2011-02-10,2011-02-10,122
03783310,2011-02-15,2011-02-15,141
03783310,2011-02-18,2011-02-18,107
03783310,2011-02-23,2011-02-23,107
