cusip,sim,comp_st_years,comp_en_years,comp_conm,factiva_comp,factiva_tag,manual_tag
69487310,0.867924528,1992,2015,PACIFIC SUNWEAR CALIF INC,Pacific Sunwear of California Inc,pacsun,pacsun
69663910,0.974358974,1994,2009,PALM HARBOR HOMES INC,Palm Harbour Homes Inc,palhom,palhom
69752930,0.928571429,1991,2012,PALOMAR MED TECHNOLOGIES INC,Palomar Medical Technologies Inc,plmrmd,plmrmd
69889110,0.723404255,1992,2000,PARACELSUS HEALTHCARE CORP,Sabra Healthcare REIT Inc.,sunhlc,
70358810,0.875,1995,2006,PAULA FINANCIAL/DE,Paula Financial Inc,paulaf,paulaf
70787440,0.926829268,1987,2006,PENN TREATY AMERN CORP,Penn Treaty American Corp,ptac,ptac
70816710,0.833333333,1994,2006,PENNFED FINANCIAL SVCS INC,Pennfed Financial Services,pnfds,pnfds
70835210,0.84,1999,2004,PENNROCK FINANCIAL SVCS,Pennrock Financial Services Corp,pnrfnl,pnrfnl
70872010,0.92,1977,1998,PENNSYLVANIA ENTERPRISES INC,PENNSYLVANIA ENTERPRISES,pensen,pensen
70934210,0.928571429,1965,1998,PENOBSCOT SHOE,PENOBSCOT SHOE CO,pso,pso
70963510,0.846153846,1985,1999,PENTECH INTERNATIONAL INC,"PENTECH INTL (EDISON,NJ)",penin,penin
70979610,0.952380952,1993,2006,PEOPLES BANCTRUST INC,Peoples Banctrust Co Inc,pbanc,pbanc
71415720,0.862068966,1991,2018,PERMA-FIX ENVIRONMENTAL SVCS,Perma-Fix Environmental Services Inc,permaf,permaf
71584310,0.857142857,1986,1993,PET PRODUCTS INC,"Aspen Pet Products, Inc.",asppet,
71658310,0.958333333,1978,1990,PETROLEUM EQUIPMENT TOOLS CO,PETROLEUM EQUIPMENT TOOLS,peqt,peqt
71752810,0.813559322,1992,2007,PHILADELPHIA CONS HLDG CORP,Philadelphia Consolidated Holding Corp.,phcons,phcons
71832010,0.894736842,1961,1989,PHILIPS INDUSTRIES INC,Philips Industries,phl,phl
71854610,,,,PHILLIPS 66,Phillips 66 Capital,phlcap,phlcap
71880310,0.882352941,1981,1990,PHOENIX AMERICAN INC,Phoenix American,phxa,phxa
71891320,0.9,1966,1995,PHOENIX RESOURCE COS,The Phoenix Resource Cos Inc,texin,texin
71948P10,0.324324324,2017,2018,PHUNWARE INC,Stellar Acquisition III Inc.,emweop,
72077310,0.875,1990,1999,PIERCING PAGODA,PIERCING PAGODA INC,pcpgd,pcpgd
72142Y10,0.837209302,1991,1998,PILGRIM CAPITAL CORP,PILGRIM AMERICA CAPITAL CORP,fstwes,fstwes
72290310,0.9,1988,2017,PINNACLE BANCSHARES,Pinnacle Bancshares Inc,ffedal,ffedal
72344310,0.790697674,1998,2011,PINNACLE AIRLINES CORP,Continental Airlines Inc,conair,
72346210,0.925925926,1989,1997,PINNACLE FINANCIAL SERVICES,PINNACLE FINANCIAL SERVICES INC,pinfin,pinfin
72451410,0.928571429,1988,1996,PITTENCRIEFF COMMUNICATIONS,Pittencrieff Communications Inc,pittcc,pittcc
72790310,0.846153846,1986,1998,PLAYERS INTERNATIONAL INC,PLAYERS INTERNATIONAL,plaint,plaint
72811730,0.9,1972,2009,PLAYBOY ENTERPRISES,Playboy Enterprises Inc,plby,plby
72811K10,0.867924528,1992,2000,PLAY BY PLAY TOYS &NOVELTIES,Play By Play Toys and Novelties Inc,plybpl,plybpl
73090010,0.818181818,1985,1998,POLK AUDIO INC,"Polk Audio (Baltimore, MD)",polka,polka
73973210,0.780487805,1950,1994,PRATT & LAMBERT UNITED INC,PRATT AND LAMBERT INC,pram,
74046J10,0.864864865,1999,2002,PREMIER BANCORP INC/PA,Prestige Bancorp Inc,prstgb,
74090010,0.727272727,1985,1994,PREMIER BANCORP,Prestige Bancorp Inc,prstgb,
74157H10,0.882352941,1995,1998,PRIME BANCSHARES INC/TX,PRIME BANCSHARES,prmbnc,prmbnc
74163Q10,0.923076923,1996,2003,PRIMUS KNOWLEDGE SOLUTIONS,Primus Knowledge Solutions Inc,prikno,prikno
74187410,0.867924528,1984,1993,PRINCETON DIAGNOSTIC LABS,PRINCETON DIAGNOSTIC LABS AMERICA,psybio,psybio
74190310,0.75862069,1988,1999,PRIMARK CORP,PRIMARK CORPORATION,pmk,pmk
74191410,0.857142857,1988,1998,PRIME BANCORP INC,PRIME BANCORP,primb,primb
74228210,0.923076923,1992,2011,PRINCETON NATL BANCORP INC,Princeton National Bancorp Inc,prnceb,prnceb
74283P20,0.80952381,1994,2000,PRODIGY COMMUN CORP,Prodigy Communications Corp,iwica,iwica
74311210,0.904761905,1983,1999,PROFESSIONAL BANCORP INC/PA,PROFESSIONAL BANCORP,probcp,probcp
74320910,0.936170213,1973,1990,PROGRAMMING & SYSTEMS INC,Programming and Systems Inc,psys,psys
74331510,0.87804878,1979,2018,PROGRESSIVE CORP-OHIO,The Progressive Corporation,proco,proco
74332S20,0.877192982,1992,2007,PROGRESSIVE GAMING INTL CORP,Progressive Gaming International Corporation,mikgam,mikgam
74339610,0.833333333,1965,1995,PROLER INTERNATIONAL CORP,Proler International,ps,ps
74373710,0.79245283,1988,2015,PROVIDENCE AND WORCESTER RR,Providence & Worcester Railroad Co,prowr,prowr
74397710,0.333333333,1996,2004,PROVINCE HEALTHCARE CO,Duane Reade Holdings Inc.,dure,
74431A10,0.75,2003,2018,PRUDENTIAL BANCORP INC,"Prudential Bancorp, Inc. of Pennsylvania",prpabv,prpabv
74723610,0.894736842,1985,1994,PYRAMID TECHNOLOGY,Pyramid Technology Corp,pyrtec,pyrtec
